ticker,p_pre,p_first,gap,gap_min,up10_hit,up10_min,up10_gap_share,up10_in_gap,dn10_hit,dn10_min,up20_hit,up20_min,up20_gap_share,up20_in_gap,dn20_hit,dn20_min,up50_hit,up50_min,up50_gap_share,up50_in_gap,dn50_hit,dn50_min
AGNC,10.604999542236328,10.609999656677246,0.0004714865305750493,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AGPU,6.889999866485596,6.889999866485596,0.0,0.0,True,3932.0,0.0,False,False,,False,,,False,False,,False,,,False,False,
AGPU,6.809999942779541,6.7754998207092285,-0.005066097262877656,0.0,True,5583.0,-0.05066097262877656,False,False,,True,5668.0,-0.02533048631438828,False,False,,False,,,False,False,
AGPU,7.283299922943115,7.295000076293945,0.001606435746792867,0.0,True,5831.0,0.01606435746792867,False,False,,False,,,False,False,,False,,,False,False,
AGYS,96.73999786376953,96.63500213623047,-0.0010853393617696883,0.0,True,5925.0,-0.010853393617696883,False,False,,False,,,False,False,,False,,,False,False,
AGYS,106.71489715576172,106.5199966430664,-0.001826366495118581,0.0,False,,,False,True,21434.0,False,,,False,False,,False,,,False,False,
AGYS,104.31999969482422,104.51000213623047,0.0018213424267836675,0.0,True,19993.0,0.018213424267836675,False,False,,False,,,False,False,,False,,,False,False,
AGYS,100.79000091552734,100.79499816894531,4.9580845049801425e-05,0.0,True,9888.0,0.0004958084504980143,False,False,,False,,,False,False,,False,,,False,False,
AGYS,99.12000274658203,99.11000061035156,-0.00010090936191797795,0.0,True,5400.0,-0.0010090936191797795,False,False,,False,,,False,False,,False,,,False,False,
AHCO,10.359999656677246,10.359999656677246,0.0,0.0,True,11330.0,0.0,False,False,,False,,,False,False,,False,,,False,False,
AHCO,10.90999984741211,10.899999618530273,-0.0009166112760494727,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AHCO,11.260000228881836,11.246000289916992,-0.0012433338081943024,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AHCO,10.069999694824219,10.079999923706055,0.0009930714185597544,0.0,True,8666.0,0.009930714185597544,False,False,,False,,,False,False,,False,,,False,False,
AHR,54.46500015258789,54.46500015258789,0.0,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
